,U,delta,r
0,7.665298938751221,0.2721656262874603,1.4398236089618877e-05
1,7.665298938751221,0.42936575412750244,2.2714513761457056e-05
2,7.665298938751221,0.46603846549987793,2.4654589651618153e-05
3,7.665298938751221,0.49328097701072693,2.6095785869983956e-05
4,7.665298938751221,0.41365694999694824,2.1883479348616675e-05
5,7.665298938751221,0.414727121591568,2.1940093574812636e-05
6,7.665298938751221,0.3748966455459595,1.9832961697829887e-05
7,7.665298938751221,0.2543422281742096,1.3455334737955127e-05
8,7.665298938751221,0.27372056245803833,1.4480497156910133e-05
9,7.665298938751221,0.16660675406455994,8.813910426397342e-06
10,7.665298938751221,0.14399537444114685,7.617712526553078e-06
11,7.665298938751221,0.27777162194252014,1.4694808669446502e-05
12,7.665298938751221,0.13852737843990326,7.328441824938636e-06
13,7.665298938751221,0.15782402455806732,8.349282325070817e-06
14,7.665298938751221,0.31945890188217163,1.6900168702704832e-05
15,7.665298938751221,0.3928265869617462,2.0781501007149927e-05
16,7.665298938751221,0.540634036064148,2.8600881705642678e-05
17,7.665298938751221,0.6972627639770508,3.688692959258333e-05
18,7.665298938751221,0.8690259456634521,4.597362567437813e-05
19,7.665298938751221,0.9433680176734924,4.9906509957509115e-05
20,7.665298938751221,0.8252702355384827,4.365884160506539e-05
21,7.665298938751221,0.7692676782608032,4.0696166252018884e-05
22,7.665298938751221,0.598572850227356,3.1665986170992255e-05
23,7.665298938751221,0.7647269368171692,4.045595051138662e-05
24,7.665298938751221,0.7170804738998413,3.793533687712625e-05
25,7.665298938751221,0.8162519335746765,4.318174978834577e-05
26,7.665298938751221,0.7002379894256592,3.704432674567215e-05
27,7.665298938751221,0.6887155771255493,3.643476156867109e-05
28,7.665298938751221,0.5737411379814148,3.035232839465607e-05
29,7.665298938751221,0.6771045923233032,3.5820514312945306e-05
30,7.665298938751221,0.8110016584396362,4.290399738238193e-05
31,7.665298938751221,0.7245597243309021,3.833100709016435e-05
32,7.665298938751221,0.6252731680870056,3.307850056444295e-05
33,7.665298938751221,0.5827377438545227,3.0828272429062054e-05
34,7.665298938751221,0.6222840547561646,3.292036853963509e-05
35,7.665298938751221,0.7864553928375244,4.1605442675063387e-05
36,7.665298938751221,0.738442599773407,3.906544588971883e-05
37,7.665298938751221,0.5668064951896667,2.9985467335791327e-05
38,7.665298938751221,0.6975611448287964,3.69027147826273e-05
39,7.665298938751221,0.8213061690330505,4.3449133954709396e-05
40,7.665298938751221,0.7806963324546814,4.130077286390588e-05
41,7.665298938751221,0.697939395904541,3.6922723666066304e-05
42,7.665298938751221,0.8345181345939636,4.4148076995043084e-05
43,7.665298938751221,0.988025426864624,5.226899520494044e-05
44,7.665298938751221,0.983015239238739,5.200394298299216e-05
45,7.665298938751221,1.0950120687484741,5.792885349364951e-05
46,7.665298938751221,1.196164608001709,6.328007293632254e-05
47,7.665298938751221,1.315220832824707,6.95784401614219e-05
48,7.665298938751221,1.4632641077041626,7.741030276520178e-05
49,7.665298938751221,1.3264373540878296,7.017182360868901e-05
50,7.665298938751221,1.2086797952651978,6.394215597538278e-05
51,7.665298938751221,1.0584759712219238,5.599600626737811e-05
52,7.665298938751221,1.1321256160736084,5.989224882796407e-05
53,7.665298938751221,1.300267219543457,6.87873616698198e-05
54,7.665298938751221,1.2919048070907593,6.834496889496222e-05
55,7.665298938751221,1.2292509078979492,6.503042095573619e-05
56,7.665298938751221,1.2267006635665894,6.4895510149654e-05
57,7.665298938751221,1.110830307006836,5.8765679568750784e-05
58,7.665298938751221,1.2009245157241821,6.353188655339181e-05
59,7.665298938751221,1.309300184249878,6.926522473804653e-05
60,7.665298938751221,1.4601588249206543,7.724602619418874e-05
61,7.665298938751221,1.536839246749878,8.130260539473966e-05
62,7.665298938751221,1.476588249206543,7.811518298694864e-05
63,7.665298938751221,1.6454951763153076,8.705077925696969e-05
64,7.665298938751221,1.6752454042434692,8.862463437253609e-05
65,7.665298938751221,1.7991925477981567,9.518174920231104e-05
66,7.665298938751221,1.8145431280136108,9.599383338354528e-05
67,7.665298938751221,1.9217854738235474,0.00010166721767745912
68,7.665298938751221,1.8398771286010742,9.733405750012025e-05
69,7.665298938751221,1.760229229927063,9.312049223808572e-05
70,7.665298938751221,1.8427133560180664,9.748410957399756e-05
71,7.665298938751221,1.94367253780365,0.00010282509902026504
72,7.665298938751221,2.064249277114868,0.0001092039019567892
73,7.665298938751221,2.0885579586029053,0.00011048989836126566
74,7.665298938751221,2.2350027561187744,0.00011823719250969589
75,7.665298938751221,2.1405625343322754,0.00011324106890242547
76,7.665298938751221,2.256692409515381,0.00011938463285332546
77,7.665298938751221,2.205662965774536,0.00011668503429973498
78,7.665298938751221,2.3199799060821533,0.0001227326865773648
79,7.665298938751221,2.282543659210205,0.00012075222912244499
80,7.665298938751221,2.2734792232513428,0.00012027268530800939
81,7.665298938751221,2.2675769329071045,0.0001199604375869967
82,7.665298938751221,2.1990089416503906,0.0001163330307463184
83,7.665298938751221,2.2877066135406494,0.0001210253540193662
84,7.665298938751221,2.359168767929077,0.00012480586883611977
85,7.665298938751221,2.4965097904205322,0.00013207155279815197
86,7.665298938751221,2.6456565856933594,0.00013996179040987045
87,7.665298938751221,2.507625102996826,0.00013265958114061505
88,7.665298938751221,2.4614388942718506,0.00013021621271036565
89,7.665298938751221,2.419950008392334,0.00012802134733647108
90,7.665298938751221,2.295238494873047,0.00012142380728619173
91,7.665298938751221,2.30747652053833,0.0001220712292706594
92,7.665298938751221,2.2778398990631104,0.00012050337682012469
93,7.665298938751221,2.446105480194092,0.0001294050452997908
94,7.665298938751221,2.2892844676971436,0.00012110883108107373
95,7.665298938751221,2.223599672317505,0.00011763393558794633
96,7.665298938751221,2.3398022651672363,0.0001237813412444666
97,7.665298938751221,2.415299892425537,0.00012777536176145077
98,7.665298938751221,2.5197999477386475,0.0001333036634605378
99,7.665298938751221,2.5615925788879395,0.00013551459414884448
100,7.665298938751221,2.570849895477295,0.00013600433885585517
101,7.665298938751221,2.7261953353881836,0.00014422248932532966
102,7.665298938751221,2.7664873600006104,0.0001463540393160656
103,7.665298938751221,2.606157064437866,0.00013787217903882265
104,7.665298938751221,2.48012113571167,0.0001312045642407611
105,7.665298938751221,2.3857340812683105,0.00012621124915312976
106,7.665298938751221,2.244541883468628,0.0001187418238259852
107,7.665298938751221,2.2797951698303223,0.00012060682638548315
108,7.665298938751221,2.3961422443389893,0.0001267618645215407
109,7.665298938751221,2.5118980407714844,0.00013288564514368773
110,7.665298938751221,2.415905237197876,0.0001278073905268684
111,7.665298938751221,2.2416555881500244,0.00011858913785545155
112,7.665298938751221,2.3127431869506836,0.0001223498402396217
113,7.665298938751221,2.1876730918884277,0.00011573333176784217
114,7.665298938751221,2.144301652908325,0.00011343888036208227
115,7.665298938751221,2.035304069519043,0.00010767264029709622
116,7.665298938751221,2.092822551727295,0.00011071549670305103
117,7.665298938751221,1.9889013767242432,0.0001052178195095621
118,7.665298938751221,1.878402829170227,9.937216964317486e-05
119,7.665298938751221,1.8351325988769531,9.708306606626138e-05
120,7.665298938751221,1.676324486732483,8.868172153597698e-05
121,7.665298938751221,1.7886989116668701,9.462660818826407e-05
122,7.665298938751221,1.8833891153335571,9.963595948647708e-05
123,7.665298938751221,1.8633179664611816,9.85741353360936e-05
124,7.665298938751221,1.8609368801116943,9.844817395787686e-05
125,7.665298938751221,1.9142553806304932,0.00010126885899808258
126,7.665298938751221,1.7480385303497314,9.247557318303734e-05
127,7.665298938751221,1.8952522277832031,0.00010026353993453085
128,7.665298938751221,1.8250235319137573,9.654826862970367e-05
129,7.665298938751221,1.6631078720092773,8.79825311130844e-05
130,7.665298938751221,1.6966593265533447,8.975748642114922e-05
131,7.665298938751221,1.7970216274261475,9.506689821137115e-05
132,7.665298938751221,1.6796212196350098,8.885612623998895e-05
133,7.665298938751221,1.712180733680725,9.057860734174028e-05
134,7.665298938751221,1.8589234352111816,9.834166121436283e-05
135,7.665298938751221,1.9571337699890137,0.00010353723337175325
136,7.665298938751221,1.893229603767395,0.00010015653970185667
137,7.665298938751221,1.7553962469100952,9.286481508752331e-05
138,7.665298938751221,1.8141756057739258,9.597439202480018e-05
139,7.665298938751221,1.7691107988357544,9.359034447697923e-05
140,7.665298938751221,1.6587406396865845,8.775149763096124e-05
141,7.665298938751221,1.8049356937408447,9.54855713644065e-05
142,7.665298938751221,1.939717411994934,0.00010261586430715397
143,7.665298938751221,1.9104366302490234,0.00010106683475896716
144,7.665298938751221,2.050299644470215,0.00010846594523172826
145,7.665298938751221,2.1499266624450684,0.00011373644520062953
146,7.665298938751221,2.1195642948150635,0.0001121302047977224
147,7.665298938751221,1.970572590827942,0.00010424818174215034
148,7.665298938751221,2.005892038345337,0.00010611666220938787
149,7.665298938751221,2.0936732292175293,0.00011076051305280998
150,7.665298938751221,2.0893571376800537,0.00011053217167500407
151,7.665298938751221,2.2312068939208984,0.00011803638335550204
152,7.665298938751221,2.099494218826294,0.00011106846068287268
153,7.665298938751221,2.0554919242858887,0.0001087406199076213
154,7.665298938751221,2.09757661819458,0.00011096701200585812
155,7.665298938751221,2.033071756362915,0.0001075545369531028
156,7.665298938751221,1.989384651184082,0.00010524338722461835
157,7.665298938751221,2.0014169216156006,0.00010587991710053757
158,7.665298938751221,2.0811352729797363,0.0001100972222047858
159,7.665298938751221,1.9227629899978638,0.00010171893518418074
160,7.665298938751221,1.9657166004180908,0.00010399128223070875
161,7.665298938751221,2.133432626724243,0.0001128638832597062
162,7.665298938751221,2.172524929046631,0.00011493196507217363
163,7.665298938751221,2.1498260498046875,0.00011373113375157118
164,7.665298938751221,2.0055654048919678,0.00010609938181005418
165,7.665298938751221,1.8986915349960327,0.00010044548980658874
166,7.665298938751221,1.8186043500900269,9.620867785997689e-05
167,7.665298938751221,1.700118064880371,8.994046220323071e-05
168,7.665298938751221,1.5488344430923462,8.193717803806067e-05
169,7.665298938751221,1.3798636198043823,7.299820572370663e-05
170,7.665298938751221,1.3959007263183594,7.384661148535088e-05
171,7.665298938751221,1.3473297357559204,7.127708522602916e-05
172,7.665298938751221,1.3009332418441772,6.882259185658768e-05
173,7.665298938751221,1.258734107017517,6.659016071353108e-05
174,7.665298938751221,1.413555383682251,7.478058250853792e-05
175,7.665298938751221,1.379167079925537,7.296136027434841e-05
176,7.665298938751221,1.426040530204773,7.544107938883826e-05
177,7.665298938751221,1.5685962438583374,8.298263128381222e-05
178,7.665298938751221,1.6708849668502808,8.839396468829364e-05
179,7.665298938751221,1.517595648765564,8.028457523323596e-05
180,7.665298938751221,1.3604707717895508,7.197227387223393e-05
181,7.665298938751221,1.3848055601119995,7.325964543269947e-05
182,7.665298938751221,1.3062422275543213,6.910345109645277e-05
183,7.665298938751221,1.2342735528945923,6.529613165184855e-05
184,7.665298938751221,1.2887482643127441,6.81779783917591e-05
185,7.665298938751221,1.253175973892212,6.629611743846908e-05
186,7.665298938751221,1.35698401927948,7.178782107075676e-05
